,index,Unnamed: 0,business_city,business_state,business_street1,business_street2,business_zip,cik,firm_name,mailing_city,mailing_state,mailing_street1,mailing_street2,mailing_zip
381,1540,1540,ROGERS,AR,1805 NORTH 2ND STREET,SUITE 401,72756,799850,AMERICAS CARMART INC,ROGERS,AR,1805 NORTH 2ND STREET,SUITE 401,72756
382,1548,1548,NEW YORK,NY,C/O MACK REAL ESTATE GROUP,"60 COLUMBUS CIRCLE, 20TH FLOOR",10023,1666291,"Claros Mortgage Trust, Inc.",NEW YORK,NY,C/O MACK REAL ESTATE GROUP,"60 COLUMBUS CIRCLE, 20TH FLOOR",10023
383,1549,1549,CARLSBAD,CA,2210 FARADAY AVE,SUITE 100,92008,1522860,"Acutus Medical, Inc.",CARLSBAD,CA,2210 FARADAY AVE,SUITE 100,92008
384,1553,1553,ELYRIA,OH,ONE INVACARE WAY,P O BOX 4028,44036,742112,INVACARE CORP,ELYRIA,OH,ONE INVACARE WAY,P O BOX 4028,44036
385,1562,1562,NEW HAVEN,CT,195 CHURCH STREET,14TH FLOOR,06510,1563880,"Trevi Therapeutics, Inc.",NEW HAVEN,CT,195 CHURCH STREET,14TH FLOOR,06510
387,1564,1564,PALO ALTO,CA,2479 E. BAYSHORE ROAD,SUITE 195,94303,1529113,INPIXON,PALO ALTO,CA,2479 E. BAYSHORE ROAD,SUITE 195,94303
388,1575,1575,DALLAS,TX,13355 NOEL ROAD,SUITE 400,75240,868857,AECOM,DALLAS,TX,13355 NOEL ROAD,SUITE 400,75240
389,1576,1576,WESTLAKE,TX,1500 SOLANA BLVD,"BUILDING 4, SUITE 4500",76262,1726978,"Goosehead Insurance, Inc.",WESTLAKE,TX,1500 SOLANA BLVD,"BUILDING 4, SUITE 4500",76262
390,1579,1579,SEATTLE,WA,1201 WESTERN AVENUE,SUITE 406,98101,1846804,"Big Sky Growth Partners, Inc.",SEATTLE,WA,1201 WESTERN AVENUE,SUITE 406,98101
391,1584,1584,OKLAHOMA CITY,OK,1601 NW EXPRESSWAY,VALLIANCE BANK TOWER STE 1100,73118,315131,PHX MINERALS INC.,OKLAHOMA CITY,OK,1601 NW EXPRESSWAY,VALLIANCE BANK TOWER STE 1100,73118
392,1599,1599,PHOENIX,AZ,5455 E. HIGH ST.,SUITE 111,85054,1575515,"Sprouts Farmers Market, Inc.",PHOENIX,AZ,5455 E. HIGH ST.,SUITE 111,85054
393,1601,1601,BURLINGTON,MA,2400 DISTRICT AVENUE,SUITE 310,01803,1604950,scPharmaceuticals Inc.,BURLINGTON,MA,2400 DISTRICT AVENUE,SUITE 310,01803
394,1607,1607,MENLO PARK,CA,2882 SAND HILL ROAD,SUITE 106,94025,1599298,Summit Therapeutics Inc.,MENLO PARK,CA,2882 SAND HILL ROAD,SUITE 106,94025
395,1616,1616,NEW YORK,NY,292 MADISON AVENUE,19TH FLOOR,10017,1818880,Glenfarne Merger Corp.,NEW YORK,NY,292 MADISON AVENUE,19TH FLOOR,10017
396,1620,1620,PARSIPPANY,NJ,14 SYLVAN WAY,SUITE A,07054,1286613,LINCOLN EDUCATIONAL SERVICES CORP,PARSIPPANY,NJ,14 SYLVAN WAY,SUITE A,07054
397,1622,1622,ALISO VIEJO,CA,100 COLUMBIA STREET,SUITE 120,92656,1111485,"RxSight, Inc.",ALISO VIEJO,CA,100 COLUMBIA STREET,SUITE 120,92656
398,1627,1627,ALEXANDRIA,LA,1412 CENTRE COURT DRIVE,SUITE 501,71301,1071236,RED RIVER BANCSHARES INC,ALEXANDRIA,LA,1412 CENTRE COURT DRIVE,SUITE 501,71301
399,1630,1630,SAN CARLOS,CA,825 INDUSTRIAL ROAD,4TH FLOOR,94070,1425205,"IOVANCE BIOTHERAPEUTICS, INC.",SAN CARLOS,CA,825 INDUSTRIAL ROAD,4TH FLOOR,94070
400,1638,1638,DALLAS,TX,1603  LBJ  FREEWAY,SUITE 300,75234,105744,"New Concept Energy, Inc.",DALLAS,TX,1603  LBJ  FREEWAY,SUITE 300,75234
403,1645,1645,BROOMFIELD,CO,8181 ARISTA PLACE,STE 100,80021,1635077,"Aclarion, Inc.",BROOMFIELD,CO,8181 ARISTA PLACE,STE 100,80021
404,1658,1658,HOUSTON,TX,10350 RICHMOND AVENUE,SUITE 550,77042,1699039,"Ranger Energy Services, Inc.",HOUSTON,TX,10350 RICHMOND AVENUE,SUITE 550,77042
405,1661,1661,BOSTON,MA,285 SUMMER STREET,UNIT  101,02210,1420565,AILERON THERAPEUTICS INC,BOSTON,MA,285 SUMMER STREET,UNIT  101,02210
406,1664,1664,CHARLOTTE,NC,4350 CONGRESS STREET,SUITE 600,28209,41719,Glatfelter Corp,CHARLOTTE,NC,4350 CONGRESS STREET,SUITE 600,28209
407,1667,1667,HOUSTON,TX,700 LOUISIANA STREET,48TH FLOOR,77002,878932,"EQUUS TOTAL RETURN, INC.",HOUSTON,TX,700 LOUISIANA STREET,48TH FLOOR,77002
408,1673,1673,CHEVY CHASE,MD,2 WISCONSIN CIRCLE,7TH FLOOR,20815,1856961,Blue Ocean Acquisition Corp,CHEVY CHASE,MD,2 WISCONSIN CIRCLE,7TH FLOOR,20815
409,1682,1682,HOUSTON,TX,333 CLAY STREET,SUITE 3300,77002,1724965,TALOS ENERGY INC.,HOUSTON,TX,333 CLAY STREET,SUITE 3300,77002
410,1683,1683,MIAMI,FL,11900 BISCAYNE BLVD,STE 630,33181,1808377,Innovative Eyewear Inc,MIAMI,FL,66 W FLAGLER ST. SUITE 900,STE 216,33130
411,1689,1689,NEW YORK,NY,C/O THE PNC FINANCIAL SERVICES GROUP,340 MADISON AVENUE,10173,1825720,Empowerment & Inclusion Capital I Corp.,NEW YORK,NY,C/O THE PNC FINANCIAL SERVICES GROUP,340 MADISON AVENUE,10173
412,1694,1694,WINSTON-SALEM,NC,2000 FRONTIS PLAZA BLVD.,SUITE 250,27103,1850270,PROKIDNEY CORP.,WINSTON-SALEM,NC,2000 FRONTIS PLAZA BLVD.,SUITE 250,27103
413,1697,1697,SCOTTSDALE,AZ,7681 E. GRAY RD,SCOTTSDALE,85260,1015383,"AMMO, INC.",SCOTTSDALE,AZ,7681 E. GRAY RD,SCOTTSDALE,85260
414,1707,1707,ATLANTA,GA,200 ASHFORD CENTER NORTH,SUITE 425,30338,1136294,Williams Industrial Services Group Inc.,ATLANTA,GA,200 ASHFORD CENTER NORTH,SUITE 425,30338
415,1714,1714,WASHINGTON,DC,2200 PENNSYLVANIA AVE. N.W.,SUITE 800W,20037-1701,313616,DANAHER CORP /DE/,WASHINGTON,DC,2200 PENNSYLVANIA AVE. N.W.,SUITE 800W,20037-1701
416,1733,1733,SUGAR LAND,TX,2277 PLAZA DRIVE,SUITE 500,77479,1376139,CVR ENERGY INC,SUGAR LAND,TX,2277 PLAZA DRIVE,SUITE 500,77479
417,1735,1735,BURLINGTON,MA,2 BURLINGTON WOODS DRIVE,SUITE 100,01803,1760683,East Stone Acquisition Corp,BURLINGTON,MA,2 BURLINGTON WOODS DRIVE,SUITE 100,01803
418,1737,1737,HOUSTON,TX,515 W. GREENS ROAD,SUITE 1200,77067,1854458,Nabors Energy Transition Corp.,HOUSTON,TX,515 W. GREENS ROAD,SUITE 1200,77067
419,1741,1741,THE WOODLANDS,TX,1400 WOODLOCH FOREST DRIVE,SUITE 300,77380,10254,EARTHSTONE ENERGY INC,THE WOODLANDS,TX,1400 WOODLOCH FOREST DRIVE,SUITE 300,77380
421,1743,1743,NASHVILLE,TN,100 CENTERVIEW DRIVE,SUITE 300,37214,1859285,HireRight Holdings Corp,NASHVILLE,TN,100 CENTERVIEW DRIVE,SUITE 300,37214
422,1744,1744,HACKENSACK,NJ,2 UNIVERSITY PLAZA,SUITE 100,07601,1006281,"Protalix BioTherapeutics, Inc.",HACKENSACK,NJ,2 UNIVERSITY PLAZA,SUITE 100,07601
423,1746,1746,DENVER,CO,4350 S MONACO STREET,SUITE 500,80237,773141,"M.D.C. HOLDINGS, INC.",DENVER,CO,4350 S MONACO STREET,SUITE 500,80237
424,1750,1750,NEW YORK,NY,99 WALL STREET,SUITE 460,10005,1885444,KnightSwan Acquisition Corp,NEW YORK,NY,99 WALL STREET,SUITE 460,10005
425,1758,1758,NEW YORK,NY,55 EAST 52ND STREET,38TH FLOOR,10055,1360901,Evercore Inc.,NEW YORK,NY,55 EAST 52ND STREET,38TH FLOOR,10055
426,1762,1762,CENTENNIAL,CO,6465 SOUTH GREENWOOD PLAZA,SUITE 400,80111,1393883,"DHI GROUP, INC.",CENTENNIAL,CO,6465 SOUTH GREENWOOD PLAZA,SUITE 400,80111
427,1763,1763,HOUSTON,TX,3040 POST OAK BOULEVARD,SUITE 300,77056,1016281,CARRIAGE SERVICES INC,HOUSTON,TX,3040 POST OAK BOULEVARD,SUITE 300,77056
429,1769,1769,RALEIGH,NC,8480 HONEYCUTT ROAD,SUITE 120,27615,1551986,"9 METERS BIOPHARMA, INC.",RALEIGH,NC,8480 HONEYCUTT ROAD,SUITE 120,27615
430,1774,1774,VIENNA,VA,8000 TOWERS CRESCENT DRIVE,SUITE 1225,22182,1816017,"Spire Global, Inc.",VIENNA,VA,8000 TOWERS CRESCENT DRIVE,SUITE 1225,22182
431,1795,1795,MERRIMACK,NH,ROUTE 101A,730 MILFORD RD,03054,1050377,PC CONNECTION INC,MERRIMACK,NH,ROUTE 101A,730 MILFORD RD,03054
432,1796,1796,ATLANTA,GA,"3565 PIEDMONT ROAD, NE","BUILDING 3, SUITE 700",30305,785557,DLH Holdings Corp.,ATLANTA,GA,"3565 PIEDMONT ROAD, NE","BUILDING 3, SUITE 700",30305
433,1797,1797,WILMINGTON,DE,1000 N. WEST STREET,SUITE 1200,19801,1835632,"Marvell Technology, Inc.",WILMINGTON,DE,1000 N. WEST STREET,SUITE 1200,19801
434,1801,1801,NEW YORK,NY,C/O GRAUBARD MILLER,"405 LEXINGTON AVENUE, 11TH FLOOR",10174,1838000,Springwater Special Situations Corp.,NEW YORK,NY,C/O GRAUBARD MILLER,"405 LEXINGTON AVENUE, 11TH FLOOR",10174
435,1803,1803,LOUISVILLE,CO,833 WEST BOULDER ROAD,BLDG G,80027-2452,1089872,"GAIA, INC",LOUISVILLE,CO,833 WEST BOULDER ROAD,BLDG G,80027-2452
436,1806,1806,CHICAGO,IL,410 NORTH MICHIGAN AVENUE,SUITE 400,60611,74046,Oil-Dri Corp of America,CHICAGO,IL,410 NORTH MICHIGAN AVENUE,SUITE 400,60611
437,1810,1810,NEW YORK,NY,"590 MADISON AVENUE,",21ST FLOOR,10022,1842430,Angel Pond Holdings Corp,NEW YORK,NY,"590 MADISON AVENUE,",21ST FLOOR,10022
438,1818,1818,SAN FRANCISCO,CA,655 MONTGOMERY STREET,SUITE 1000,94111,1723648,"LiveVox Holdings, Inc.",SAN FRANCISCO,CA,655 MONTGOMERY STREET,SUITE 1000,94111
439,1819,1819,CHARLOTTE,NC,440 S. CHURCH STREET,SUITE 700,28202,1804745,Driven Brands Holdings Inc.,CHARLOTTE,NC,440 S. CHURCH STREET,SUITE 700,28202
440,1825,1825,SUNRISE,FL,1560 SAWGRASS CORPORATE PARKWAY,SUITE 130,33323,1372183,NextPlay Technologies Inc.,SUNRISE,FL,1560 SAWGRASS CORPORATE PARKWAY,SUITE 130,33323
441,1833,1833,PHILADELPHIA,PA,2001 MARKET STREET,SUITE 3400,19103,1870404,PHOENIX BIOTECH ACQUISITION CORP.,PHILADELPHIA,PA,2001 MARKET STREET,SUITE 3400,19103
442,1834,1834,TULSA,OK,BANK OF OKLAHOMA TOWER,BOSTON AVENUE AT SECOND STREET,74172,875357,BOK FINANCIAL CORP,TULSA,OK,BANK OF OKLAHOMA TOWER,P O BOX 2300,74192
443,1835,1835,NEW YORK,NY,590 MADISON AVENUE,35TH FLOOR,10022,1133311,TRAVELZOO,NEW YORK,NY,590 MADISON AVENUE,35TH FLOOR,10022
444,1838,1838,TAMPA,FL,5401 WEST KENNEDY BOULEVARD,SUITE 890,33609,1396814,"Pacira BioSciences, Inc.",PARSIPPANY,NJ,5 SYLVAN WAY,SUITE 300,07054
445,1840,1840,HOUSTON,TX,2229 SAN FELIPE,SUITE 1300,77019,1841420,ESM Acquisition Corp,HOUSTON,TX,2229 SAN FELIPE,SUITE 1300,77019
446,1845,1845,NEWTON,MA,TWO NEWTON PLACE,"255 WASHINGTON STREET, SUITE 300",02458,1452477,Seven Hills Realty Trust,NEWTON,MA,TWO NEWTON PLACE,"255 WASHINGTON STREET, SUITE 300",02458
448,1857,1857,HOUSTON,TX,5599 SAN FELIPE,17TH FLOOR,77056,87347,SCHLUMBERGER LIMITED/NV,HOUSTON,TX,5599 SAN FELIPE,17TH FLOOR,77056
449,1859,1859,LOS ANGELES,CA,3200 WILSHIRE BLVD,SUITE 1400,90010,1128361,HOPE BANCORP INC,LOS ANGELES,CA,3200 WILSHIRE BLVD,SUITE 1400,90010
451,1872,1872,DOWNERS GROVE,IL,3500 LACEY ROAD,SUITE 700,60515,1383084,INVESCO DB BASE METALS FUND,DOWNERS GROVE,IL,3500 LACEY ROAD,SUITE 700,60515
452,1874,1874,MIAMI,FL,MAQUIA CAPITAL ACQUISITION CORPORATION,"50 BISCAYNE BOULEVARD, SUITE 2406",33132,1844419,Maquia Capital Acquisition Corp,MIAMI,FL,MAQUIA CAPITAL ACQUISITION CORPORATION,"50 BISCAYNE BOULEVARD, SUITE 2406",33132
453,1879,1879,LA JOLLA,CA,7946 IVANHOE AVENUE,SUITE 201,92037,1716947,"Ensysce Biosciences, Inc.",LA JOLLA,CA,7946 IVANHOE AVENUE,SUITE 201,92037
454,1883,1883,CAMBRIDGE,MA,200 CAMBRIDGE PARK DRIVE,SUITE 3100,02140,1622229,"Cogent Biosciences, Inc.",CAMBRIDGE,MA,200 CAMBRIDGE PARK DRIVE,SUITE 3100,02140
455,1891,1891,NEWPORT BEACH,CA,610 NEWPORT CENTER DR,SUITE 1100,92660,1058090,CHIPOTLE MEXICAN GRILL INC,NEWPORT BEACH,CA,610 NEWPORT CENTER DR,SUITE 1100,92660
456,1895,1895,ENGLEWOOD,CO,"345 INVERNESS DRIVE SOUTH, BUILDING C",Suite 310,80112,1392380,"Gevo, Inc.",ENGLEWOOD,CO,"345 INVERNESS DRIVE SOUTH, BUILDING C",Suite 310,80112
457,1903,1903,NEW YORK,NY,1 VANDERBILT AVENUE,"FLOOR 54, SUITE C",10017,1819989,Cipher Mining Inc.,NEW YORK,NY,1 VANDERBILT AVENUE,"FLOOR 54, SUITE C",10017
458,1908,1908,WESTLAKE VILLAGE,CA,30699 RUSSELL RANCH ROAD,"BUILDING 111, SUITE 295",91362,1692376,"Velocity Financial, Inc.",WESTLAKE VILLAGE,CA,30699 RUSSELL RANCH ROAD,"BUILDING 111, SUITE 295",91362
460,1918,1918,ATLANTA,GA,1555 PEACHTREE STREET NE,SUITE 1800,30309,914208,Invesco Ltd.,ATLANTA,GA,1555 PEACHTREE STREET NE,SUITE 1800,30309
461,1932,1932,LEHI,UT,3300 TRIUMPH BLVD,SUITE 700,84043,849146,Lifevantage Corp,LEHI,UT,3300 TRIUMPH BLVD,SUITE 700,84043
462,1936,1936,PRINCETON,NJ,500 COLLEGE ROAD EAST,SUITE 310,08540-6635,1261249,AGILE THERAPEUTICS INC,PRINCETON,NJ,500 COLLEGE ROAD EAST,SUITE 310,08540-6635
464,1949,1949,MIDLAND,TX,508 WEST WALL,SUITE 800,79701,799165,DAWSON GEOPHYSICAL CO,MIDLAND,TX,508 WEST WALL,SUITE 800,79701
465,1957,1957,ROCKVILLE,MD,15245 SHADY GROVE ROAD,SUITE 400,20850,1173489,CEVA INC,ROCKVILLE,MD,15245 SHADY GROVE ROAD,SUITE 400,20850
466,1966,1966,OMAHA,NE,7405 IRVINGTON ROAD,POST OFFICE BOX 641940 (68164-7940),68122,928465,AMCON DISTRIBUTING CO,OMAHA,NE,7405 IRVINGTON ROAD,POST OFFICE BOX 641940 (68164-7940),68122
467,1967,1967,NEW YORK,NY,30 WEST 21ST STREET,9TH FLOOR,10010,1807846,MONEYLION INC.,NEW YORK,NY,30 WEST 21ST STREET,9TH FLOOR,10010
468,1971,1971,SAN ANTONIO,TX,17802 IH 10 WEST,SUITE 400,78257,1726173,Biglari Holdings Inc.,SAN ANTONIO,TX,17802 IH 10 WEST,SUITE 400,78257
471,1976,1976,PHOENIX,AZ,4720 E COTTON GIN LOOP,SUITE 220,85040,1402479,"MedAvail Holdings, Inc.",PHOENIX,AZ,4720 E COTTON GIN LOOP,SUITE 220,85040
472,1978,1978,ENGLEWOOD,CO,8310 SOUTH VALLEY HIGHWAY,SUITE 3115,80112,1531978,"Paragon 28, Inc.",ENGLEWOOD,CO,8310 SOUTH VALLEY HIGHWAY,SUITE 3115,80112
474,2001,2001,AUSTIN,TX,12117 BEE CAVES ROAD BUILDING THREE,SUITE 100,78738,926617,Aspira Women's Health Inc.,AUSTIN,TX,12117 BEE CAVES ROAD BUILDING THREE,SUITE 100,78738
475,2006,2006,NEW YORK,NY,1345 AVENUE OF AMERICAS,45TH FLOOR,10105,1823733,Fortress Capital Acquisition Corp,NEW YORK,NY,1345 AVENUE OF AMERICAS,45TH FLOOR,10105
477,2008,2008,WASHINGTON,DC,2001 K STREET NW,SUITE 775 NORTH,20006,1622194,"Easterly Government Properties, Inc.",WASHINGTON,DC,2001 K STREET NW,SUITE 775 NORTH,20006
478,2012,2012,NEW YORK,NY,500 FIFTH AVENUE,SUITE 1530,10110,1628063,Seritage Growth Properties,NEW YORK,NY,500 FIFTH AVENUE,SUITE 1530,10110
479,2018,2018,DULUTH,GA,2905 PREMIERE PARKWAY NW,SUITE 300,30097,1144980,ASBURY AUTOMOTIVE GROUP INC,DULUTH,GA,2905 PREMIERE PARKWAY NW,SUITE 300,30097
480,2022,2022,HOUSTON,TX,5433 WESTHEIMER,SUITE 500,77056,1048268,"IES Holdings, Inc.",HOUSTON,TX,5433 WESTHEIMER,SUITE 500,77056
481,2023,2023,ISELIN,NJ,485 ROUTE 1 SOUTH,"BUILDING F, SUITE 320",08830,1649989,"Outlook Therapeutics, Inc.",ISELIN,NJ,485 ROUTE 1 SOUTH,"BUILDING F, SUITE 320",08830
482,2026,2026,CINCINNATI,OH,38 FOUNTAIN SQ PLZ,FIFTH THIRD CENTER,45263,35527,FIFTH THIRD BANCORP,CINCINNATI,OH,38 FOUNTAIN SQ PLZ,FIFTH THIRD CENTER,45263
483,2027,2027,NEW YORK,NY,712 FIFTH AVENUE,49TH FLOOR,10019,1483386,abrdn Precious Metals Basket ETF Trust,NEW YORK,NY,712 FIFTH AVENUE,49TH FLOOR,10019
485,2044,2044,LOS ANGELES,CA,"HOULIHAN LOKEY, INC.","10250 CONSTELLATION BLVD., 5TH FLOOR",90067,1302215,"HOULIHAN LOKEY, INC.",LOS ANGELES,CA,"HOULIHAN LOKEY, INC.","10250 CONSTELLATION BLVD., 5TH FLOOR",90067
486,2054,2054,STAMFORD,CT,56 TOP GALLANT RD,P O BOX 10212,06904-2212,749251,GARTNER INC,STAMFORD,CT,56 TOP GALLANT RD,P O BOX 10212,06904-2212
487,2058,2058,NEW YORK,NY,875 THIRD AVENUE,28TH FLOOR,10022,1651052,Focus Financial Partners Inc.,NEW YORK,NY,875 THIRD AVENUE,28TH FLOOR,10022
488,2059,2059,LEHI,UT,1633 W. INNOVATION WAY,5TH FLOOR,84043,1852332,Banner Acquisition Corp.,LEHI,UT,1633 W. INNOVATION WAY,5TH FLOOR,84043
489,2060,2060,SAN JOSE,CA,6220 AMERICA CENTER DR.,SUITE 100,95002,1786352,"Bill.com Holdings, Inc.",SAN JOSE,CA,6220 AMERICA CENTER DR.,SUITE 100,95002
490,2064,2064,SAN FRANCISCO,CA,400 OYSTER POINT BLVD,SUITE 505,94080,910267,TITAN PHARMACEUTICALS INC,SAN FRANCISCO,CA,400 OYSTER POINT BLVD,SUITE 505,94080
492,2071,2071,RESTON,VA,11710 PLAZA AMERICA DRIVE,SUITE 2000,20190,1084554,LIGHTBRIDGE Corp,RESTON,VA,11710 PLAZA AMERICA DRIVE,SUITE 2000,20190
493,2075,2075,MONROE,LA,P O BOX 4065,100 CENTURYLINK DRIVE,71203,68622,QWEST CORP,MONROE,LA,100 CENTURYLINK DRIVE,P O BOX 4065,71203
494,2083,2083,WILLISTON,VT,400 AVE D,SUITE 10,05495,1634447,"ISUN, INC.",WILLISTON,VT,400 AVE D,SUITE 10,05495
495,2084,2084,CLEARWATER,FL,4800 140TH AVENUE N.,SUITE 101,33762,1725134,"Digital Media Solutions, Inc.",CLEARWATER,FL,4800 140TH AVENUE N.,SUITE 101,33762
496,2086,2086,NEW YORK,NY,437 MADISON AVENUE,27TH FLOOR,10022,1847075,SAI.TECH Global Corp,NEW YORK,NY,437 MADISON AVENUE,27TH FLOOR,10022
497,2087,2087,CLEARWATER,FL,2600 MCCORMICK DRIVE,SUITE200,33759,1057060,MARINEMAX INC,CLEARWATER,FL,2600 MCCORMICK DRIVE,SUITE200,33759
498,2091,2091,MIAMI BEACH,DC,429 LENOX AVENUE,SUITE 547,33139,1833908,"Alfi, Inc.",MIAMI BEACH,DC,429 LENOX AVENUE,SUITE 547,33139
499,2115,2115,SAN JUAN CAPISTRANO,CA,31910 DEL OBISPO STREET,SUITE 200,92675,1579214,"Emerald Holding, Inc.",SAN JUAN CAPISTRANO,CA,31910 DEL OBISPO STREET,SUITE 200,92675
500,2125,2125,DENVER,CO,1225 17TH STREET,SUITE 1000,80202,1702744,Simply Good Foods Co,DENVER,CO,1225 17TH STREET,SUITE 1000,80202
501,2129,2129,NEW YORK,NY,685 THIRD AVENUE,27TH FLOOR,10017,1618181,World Gold Trust,NEW YORK,NY,685 THIRD AVENUE,27TH FLOOR,10017
502,2133,2133,BURLINGAME,CA,1350 OLD BAYSHORE HIGHWAY,SUITE 400,94010,1080014,"Innoviva, Inc.",BURLINGAME,CA,1350 OLD BAYSHORE HIGHWAY,SUITE 400,94010
505,2146,2146,HOBOKEN,NJ,C/O METAURUS ADVISORS LLC,"22 HUDSON PLACE, THIRD FLOOR",07030,1688487,Metaurus Equity Component Trust,HOBOKEN,NJ,C/O METAURUS ADVISORS LLC,"22 HUDSON PLACE, THIRD FLOOR",07030
506,2149,2149,GREAT NECK,NY,60 CUTTER MILL RD,SUITE 303,11021-3190,14846,BRT Apartments Corp.,GREAT NECK,NY,60 CUTTER MILL ROAD,SUITE 303,11021
507,2150,2150,SPOKANE,WA,601 WEST RIVERSIDE AVENUE,SUITE 1100,99201,1441236,Clearwater Paper Corp,SPOKANE,WA,601 WEST RIVERSIDE AVENUE,SUITE 1100,99201
508,2158,2158,COLUMBUS,OH,THREE LIMITED PKWY,P O BOX 16000,43230,701985,"Bath & Body Works, Inc.",COLUMBUS,OH,THREE LIMITED PARKWAY,P.O. BOX 16000,43230
509,2161,2161,CHICAGO,IL,CNA,151 N. FRANKLIN,60606,21175,CNA FINANCIAL CORP,CHICAGO,IL,CNA,151 N. FRANKLIN,60606
510,2163,2163,SAN DIEGO,CA,488 8TH AVENUE,P O BOX 129400,92101,1032208,SEMPRA ENERGY,SAN DIEGO,CA,488 8TH AVENUE,P O BOX 129400,92101
512,2168,2168,BUFFALO,NY,3556 LAKE SHORE ROAD,P O BOX 2028,14219-0228,912562,"GIBRALTAR INDUSTRIES, INC.",BUFFALO,NY,GATEWAY EXECUTIVE PARK,3556 LAKE SHORE ROAD PO BOX 2028,14219-0228
513,2172,2172,ADDISON,TX,15455 DALLAS PKWY,SUITE 550,75001,1642453,"Daseke, Inc.",ADDISON,TX,15455 DALLAS PKWY,SUITE 550,75001
514,2175,2175,CLEARWATER,FL,33 NORTH GARDEN AVENUE,SUITE 1200,33755,1664998,"KnowBe4, Inc.",CLEARWATER,FL,33 NORTH GARDEN AVENUE,SUITE 1200,33755
516,2181,2181,PITTSBURGH,PA,F.N.B. CORPORATION,"ONE NORTH SHORE CENTER, 12 FEDERAL ST.",15212,37808,FNB CORP/PA/,PITTSBURGH,PA,F.N.B. CORPORATION,"ONE NORTH SHORE CENTER, 12 FEDERAL ST.",15212
517,2195,2195,PROVO,UT,75 WEST CENTER ST,ATTN: GREGORY BELLISTON,84601,1021561,"NU SKIN ENTERPRISES, INC.",PROVO,UT,75 WEST CENTER ST,ATTN: GREGORY BELLISTON,84601
518,2201,2201,ROSEVILLE,CA,1030 WINDING CREEK ROAD,SUITE 100,95678,1172631,"Sunworks, Inc.",ROSEVILLE,CA,1030 WINDING CREEK ROAD,SUITE 100,95678
519,2207,2207,ATLANTA,GA,FIVE CONCOURSE PARKWAY,SUITE 300,30328,1464343,Atlanticus Holdings Corp,ATLANTA,GA,FIVE CONCOURSE PARKWAY,SUITE 300,30328
520,2208,2208,NEW YORK,NY,350 FIFTH AVENUE,SUITE 4740,10118,27367,DAXOR CORP,NEW YORK,NY,350 5TH AVENUE,SUITE 4740,10118
521,2209,2209,BRENTWOOD,TN,310 SEVEN SPRINGS WAY,SUITE 500,37027,1638833,"Surgery Partners, Inc.",BRENTWOOD,TN,310 SEVEN SPRINGS WAY,SUITE 500,37027
522,2211,2211,NEW YORK,NY,C/O FALCON EDGE CAPITAL,660 MADISON AVENUE,10065,1829797,Pioneer Merger Corp.,NEW YORK,NY,C/O FALCON EDGE CAPITAL,660 MADISON AVENUE,10065
523,2215,2215,FOOTHILL RANCH,CA,27042 TOWNE CENTRE DRIVE,SUITE 270,92610,811240,"BIOLASE, INC",FOOTHILL RANCH,CA,27042 TOWNE CENTRE DRIVE,SUITE 270,92610
524,2216,2216,BOSTON,MA,"C/O BAIN CAPITAL CREDIT, LP",200 CLARENDON STREET,02116,1655050,"Bain Capital Specialty Finance, Inc.",BOSTON,MA,"C/O BAIN CAPITAL CREDIT, LP",200 CLARENDON STREET,02116
525,2219,2219,GREENSBORO,NC,7201 WEST FRIENDLY RD,P O BOX 19109,27419-9109,100726,UNIFI INC,GREENSBORO,NC,7201 W FRIENDLY RD,PO BOX 19109,24719-9109
526,2223,2223,NEW YORK,NY,C/O ABERDEEN STANDARD INVESTMENTS,"712 FIFTH AVENUE, 49TH FLOOR",10019,1450923,abrdn Gold ETF Trust,NEW YORK,NY,C/O ABERDEEN STANDARD INVESTMENTS,"712 FIFTH AVENUE, 49TH FLOOR",10019
527,2225,2225,LOS ANGELES,CA,11620 WILSHIRE BOULEVARD,SUITE 350,90025,69422,INTERGROUP CORP,LOS ANGELES,CA,11620 WILSHIRE BOULEVARD,SUITE 350,90025
528,2230,2230,KAILUA KONA,HI,73-4460 QUEEN KAAHUMANU HWY,SUITE 102,96740,768408,CYANOTECH CORP,KAILUA-KONA,HI,73-4460 QUEEN KAAHUMANU HWY,SUITE 102,96740
529,2233,2233,THE WOODLANDS,TX,1790 HUGHES LANDING BOULEVARD,SUITE 400,77380,1845459,Graf Acquisition Corp. IV,THE WOODLANDS,TX,1790 HUGHES LANDING BOULEVARD,SUITE 400,77380
530,2235,2235,CHICAGO,IL,55 EAST MONROE STREET,SUITE 2120,60603,1546296,"Professional Diversity Network, Inc.",CHICAGO,IL,55 EAST MONROE STREET,SUITE 2120,60603
531,2237,2237,FORT WORTH,TX,301 COMMERCE STREET,SUITE 3300,76102,1880661,TPG Inc.,FORT WORTH,TX,301 COMMERCE STREET,SUITE 3300,76102
532,2240,2240,DALLAS,TX,2828 N. HARWOOD,SUITE 1300,75201,1915657,HF Sinclair Corp,DALLAS,TX,2828 N. HARWOOD,SUITE 1300,75201
533,2242,2242,CHANDLER,AZ,1445 SOUTH SPECTRUM BLVD.,SUITE 102,85286,912093,VIAVI SOLUTIONS INC.,CHANDLER,AZ,1445 SOUTH SPECTRUM BLVD.,SUITE 102,85286
