,business_city,business_state,business_street1,business_street2,business_zip,cik,firm_name,mailing_city,mailing_state,mailing_street1,mailing_street2,mailing_zip
1212,LEAD,SD,"106 GLENDALE DRIVE, SUITE A",,57754,0001852353,Dakota Gold Corp.,LEAD,SD,"106 GLENDALE DRIVE, SUITE A",,57754
1213,BEIJING,F4,"RM 505 BLDG NO. 40, NO. 1 DISHENG N ST",ECONOMIC & TECHNOLOGICAL DEVELOP. ZONE,100176,0001716770,Wah Fu Education Group Ltd,BEIJING,F4,"RM 505 BLDG NO. 40, NO. 1 DISHENG N ST",ECONOMIC & TECHNOLOGICAL DEVELOP. ZONE,100176
1214,NEW YORK,NY,"1 STATE STREET PLAZA, 24TH FLOOR",,10004,0001645070,Sterling Check Corp.,NEW YORK,NY,"1 STATE STREET PLAZA, 24TH FLOOR",,10004
1215,MOUNTAIN VIEW,CA,555 ELLIS STREET,,94043,0001789029,"Aeva Technologies, Inc.",MOUNTAIN VIEW,CA,555 ELLIS STREET,,94043
1216,MARLBOROUGH,MA,300 BOSTON SCIENTIFIC WAY,,01752-1234,0000885725,BOSTON SCIENTIFIC CORP,MARLBOROUGH,MA,300 BOSTON SCIENTIFIC WAY,,01752-1234
1217,TAMPA,FL,101 EAST KENNEDY BLVD.,SUITE 2500,33602,0001285785,MOSAIC CO,TAMPA,FL,101 EAST KENNEDY BLVD.,SUITE 2500,33602
1218,MARLBOROUGH,MA,250 CAMPUS DRIVE,,01752,0000859737,HOLOGIC INC,MARLBOROUGH,MA,250 CAMPUS DRIVE,,01752
1219,ORLANDO,FL,6240 SEA HARBOR DRIVE,,32821,0001564902,"SeaWorld Entertainment, Inc.",ORLANDO,FL,6240 SEA HARBOR DRIVE,,32821
1220,VANCOUVER,A1,SUITE 610,815 WEST HASTINGS STREET,V6C 1B4,0001321847,Gold Standard Ventures Corp.,VANCOUVER,A1,SUITE 610,815 WEST HASTINGS STREET,V6C 1B4
1221,SINGAPORE,U0,#03-01 SOUTHPOINT 200 CANTONMENT ROAD,,089763,0001725293,Grindrod Shipping Holdings Ltd.,SINGAPORE,U0,#03-01 SOUTHPOINT 200 CANTONMENT ROAD,,089763
1222,HOUSTON,TX,600 TRAVIS STREET,SUITE 7200,77002,0001866175,Crescent Energy Co,HOUSTON,TX,600 TRAVIS STREET,SUITE 7200,77002
1223,NEW YORK,NY,"640 FIFTH AVENUE, 12TH FLOOR",,10019,0001812234,Churchill Capital Corp V,NEW YORK,NY,"640 FIFTH AVENUE, 12TH FLOOR",,10019
1224,HUMBLE,TX,20202 HIGHWAY 59 NORTH,SUITE 190,77338,0001781730,"Third Coast Bancshares, Inc.",HUMBLE,TX,20202 HIGHWAY 59 NORTH,SUITE 190,77338
1225,SAN ANTONIO,TX,18803 MEISNER DRIVE,,78258,0000867665,ABRAXAS PETROLEUM CORP,SAN ANTONIO,TX,18803 MEISNER DRIVE,,78258
1226,SAN DIEGO,CA,4224 CAMPUS POINT COURT,SUITE 210,92121,0001505512,Regulus Therapeutics Inc.,SAN DIEGO,CA,4224 CAMPUS POINT COURT,SUITE 210,92121
1227,AUSTIN,TX,6500 RIVERPLACE BOULEVARD,,78730,0001844004,New Providence Acquisition Corp. III,AUSTIN,TX,6500 RIVERPLACE BOULEVARD,,78730
1228,PORTLAND,OR,ONE SW COLUMBIA STREET,SUITE 1200,97204,0001077771,UMPQUA HOLDINGS CORP,PORTLAND,OR,ONE SW COLUMBIA STREET,SUITE 1200,97204
1229,WHEATON,IL,"120 EAST LIBERTY DRIVE, SUITE 400",,60187,0001302624,FIRST TRUST/ABRDN GLOBAL OPPORTUNITY INCOME FUND,WHEATON,IL,"120 EAST LIBERTY DRIVE, SUITE 400",,60187
1230,SHANGHAI,F4,555 SHIHUI ROAD,"SONGJIANG DISTRICT, SUITE A-2F",201100,0001934064,LAAA Merger Corp.,SHANGHAI,F4,555 SHIHUI ROAD,"SONGJIANG DISTRICT, SUITE A-2F",201100
1231,INDIANAPOLIS,IN,ONE EMMIS PLAZA,"40 MONUMENT CIRCLE, SUITE 700",46204,0001828325,Monument Circle Acquisition Corp.,INDIANAPOLIS,IN,ONE EMMIS PLAZA,"40 MONUMENT CIRCLE, SUITE 700",46204
1232,ATLANTA,GA,303 PERIMETER CENTER NORTH,SUITE 600,30346,0001819881,Paya Holdings Inc.,ATLANTA,GA,303 PERIMETER CENTER NORTH,SUITE 600,30346
1233,"XIAMEN, FUJIAN PROVINCE",F4,"UNIT 304, NO. 30 GUANRI ROAD",SIMING DISTRICT,361008,0001742341,HiTek Global Inc.,"XIAMEN, FUJIAN PROVINCE",F4,"UNIT 304, NO. 30 GUANRI ROAD",SIMING DISTRICT,361008
1234,JAKARTA SELATAN,K8,JL. RAYA PASAR MINGGU NO. 17A,"KELURAHAN PANCORAN, KECAMATAN PANCORAN",12780,0001757840,Indonesia Energy Corp Ltd,JAKARTA SELATAN,K8,JL. RAYA PASAR MINGGU NO. 17A,"KELURAHAN PANCORAN, KECAMATAN PANCORAN",12780
1235,STAVANGER NORWAY,Q8,FORUSBEEN 50,,N 4035,0001140625,EQUINOR ASA,STAVANGER,Q8,FORUSBEEN 50,,N 4035
1236,LONDON,X0,7 STANLEY GARDENS,,W112ND,0001848861,Healthcare AI Acquisition Corp.,LONDON,X0,7 STANLEY GARDENS,,W112ND
1237,HAUPPAUGE,NY,555 WIRELESS BLVD.,,11788,0001092662,"CHEMBIO DIAGNOSTICS, INC.",HAUPPAUGE,NY,555 WIRELESS BLVD.,,11788
1238,HAMILTON BERMUDA,D0,30 WOODBOURNE AVE,5TH FLOOR,HM08,0001273813,ASSURED GUARANTY LTD,HAMILTON BERMUDA,D0,30 WOODBOURNE AVE,5TH FLOOR,HM08
1239,SANTIAGO CHILE,F3,"AVENIDA EL GOLF 40, PISO 4",LAS CONDES,00000,0000925261,ANDINA BOTTLING CO INC,SANTIAGO,F3,"AVENIDA EL GOLF 40, PISO 4",LAS CONDES,00000
1240,WILMINGTON,DE,1007 NORTH ORANGE STREET 4TH FLOOR,,19801,0001825452,"Onfolio Holdings, Inc",WILMINGTON,DE,1007 NORTH ORANGE STREET 4TH FLOOR,,19801
1241,CHARLOTTESVILLE,VA,300 EAST MAIN STREET,SUITE 201,22902,0001053691,Diffusion Pharmaceuticals Inc.,CHARLOTTESVILLE,VA,300 EAST MAIN STREET,SUITE 201,22902
1242,TAMPA,FL,408 WARE BLVD,SUITE 508,33619,0001840102,"SPECIFICITY, INC.",TAMPA,FL,408 WARE BLVD,SUITE 508,33619
1243,TEL AVIV,L3,4 MENORAT HAMAOR ST.,,6744832,0001433607,"InspireMD, Inc.",TEL AVIV,L3,4 MENORAT HAMAOR ST.,,6744832
1244,TORONTO,A6,1140 BAY STREET,SUITE 4000,M5S 2B4,0000913353,Colliers International Group Inc.,TORONTO,A6,1140 BAY STREET,SUITE 4000,M5S 2B4
1245,IRVINE,CA,15345 BARRANCA PARKWAY,,92618,0001610250,"Boot Barn Holdings, Inc.",IRVINE,CA,15345 BARRANCA PARKWAY,,92618
1246,LEVALLOIS-PERRET,I0,3 AVENUE ANDRE MALRAUX,,92300,0001062066,ALSTOM,LEVALLOIS-PERRET,I0,3 AVENUE ANDRE MALRAUX,,92300
1247,PITTSBURGH,PA,210 SIXTH AVENUE,,15222,0001604643,Evoqua Water Technologies Corp.,PITTSBURGH,PA,210 SIXTH AVENUE,,15222
1248,SHENZHEN,F4,4068 QIAOXIANG ROAD,NANSHAN DISTRICT,518053,0001757143,Aesthetic Medical International Holdings Group Ltd,SHENZHEN,F4,4068 QIAOXIANG ROAD,NANSHAN DISTRICT,518053
1249,ORMOND BEACH,FL,454 S. YONGE STREET,SUITE 7C,32174,0001427644,"Telco Cuba, Inc.",ORMOND BEACH,FL,454 S. YONGE STREET,SUITE 7C,32174
1250,SHANGHAI,F4,FLOOR 11 SHANGHAI KAISA FINANCIAL CENTER,"NO.1188 MINSHENG ROAD, PUDONG NEW AREA",200135,0001523836,"LightInTheBox Holding Co., Ltd.",SHANGHAI,F4,FLOOR 11 SHANGHAI KAISA FINANCIAL CENTER,"NO.1188 MINSHENG ROAD, PUDONG NEW AREA",200135
1251,TORONTO,A6,"559 BRIAR HILL AVENUE,",,M5N 1N1,0001866030,A2Z Smart Technologies Corp,TORONTO,A6,"559 BRIAR HILL AVENUE,",,M5N 1N1
1252,FORT LAUDERDALE,FL,2455 EAST SUNRISE BLVD.,SUITE 1204,33304,0001479681,"Nutex Health, Inc.",FORT LAUDERDALE,FL,2455 EAST SUNRISE BLVD.,SUITE 1204,33304
1253,DALLAS,TX,8111 WESTCHESTER DRIVE,SUITE 600,75225,0001276187,Energy Transfer LP,DALLAS,TX,8111 WESTCHESTER DRIVE,SUITE 600,75225
1254,NEW YORK,NY,120 BROADWAY,32ND FLOOR,10271,0001527249,Prada S.p.A./ADR,NEW YORK,NY,120 BROADWAY,32ND FLOOR,10271
1255,CAMBRIDGE,MA,"ONE BROADWAY, 14TH FLOOR",,02142,0001861560,"Nuvalent, Inc.",CAMBRIDGE,MA,"ONE BROADWAY, 14TH FLOOR",,02142
1256,LAKE OSWEGO,OR,ONE CENTERPOINTE DR,STE 200,97035,0000923120,GREENBRIER COMPANIES INC,LAKE OSWEGO,OR,ONE CENTERPOINTE DR,STE 200,97035
1257,NEW YORK,NY,620 8TH AVENUE,47TH FLOOR,10018,0001762562,Clarion Partners Real Estate Income Fund Inc.,NEW YORK,NY,620 8TH AVENUE,47TH FLOOR,10018
1258,METRO MANILA,R6,"223 DE LA CRUZ ROAD, PASAY",,0000,0001612851,"Palayan Resources, Inc.",METRO MANILA,R6,"223 DE LA CRUZ ROAD, PASAY",,0000
1259,RADNOR,PA,150 N RADNOR CHESTER RD,,19087,0000059558,LINCOLN NATIONAL CORP,RADNOR,PA,150 N RADNOR CHESTER RD,,19087
1260,RYE,NY,ONE CORPORATE CENTER,,10580,0001378701,GDL FUND,RYE,NY,ONE CORPORATE CENTER,,10580
1261,NEW YORK,NY,250 VESEY STREET,15TH FLOOR,10281,0001871130,Brookfield Business Corp,NEW YORK,NY,250 VESEY STREET,15TH FLOOR,10281
1262,HOUSTON,TX,"5090 RICHMOND AVE, SUITE 319",,77056,0001841586,"Industrial Tech Acquisitions II, Inc.",HOUSTON,TX,"5090 RICHMOND AVE, SUITE 319",,77056
1263,"DONGGUAN, GUANGDONG PROVINCE",F4,"RM 1801 VANKE BUILDING, NORTHWEST HONG 7",HONGTUPIAN DISTRICT NANCHENG RESIDENTIAL,523000,0001502557,Kun Peng International Ltd.,"DONGGUAN, GUANGDONG PROVINCE",F4,"RM 1801 VANKE BUILDING, NORTHWEST HONG 7",HONGTUPIAN DISTRICT NANCHENG RESIDENTIAL,523000
1264,NORTHVILLE,MI,21680 HAGGERTY ROAD,,48167-8994,0000903129,GENTHERM Inc,NORTHVILLE,MI,21680 HAGGERTY ROAD,,48167-8994
1265,NEW YORK,NY,1633 BROADWAY,,10019,0001181506,PIMCO MUNICIPAL INCOME FUND III,NEW YORK,NY,1633 BROADWAY,,10019
1266,NEW YORK,NY,200 VESEY STREET,50TH FLOOR,10285,0000004962,AMERICAN EXPRESS CO,NEW YORK,NY,200 VESEY STREET,50TH FLOOR,10285
1267,LONG BEACH,CA,ONE WORLD TRADE CENTER,SUITE 130,90831,0001440153,"Bakhu Holdings, Corp.",LONG BEACH,CA,ONE WORLD TRADE CENTER,SUITE 130,90831
1268,VANCOUVER,A1,744 WEST HASTINGS STREET,SUITE 312,V6C 1A5,0001783432,Tectonic Metals Inc.,VANCOUVER,A1,744 WEST HASTINGS STREET,SUITE 312,V6C 1A5
1269,JERICHO,NY,30 JERICHO EXECUTIVE PLAZA,SUITE 400E,11753,0001355839,"PALTALK, INC.",JERICHO,NY,30 JERICHO EXECUTIVE PLAZA,SUITE 400E,11753
1270,BEAVERTON,OR,8500 SW CREEKSIDE PLACE,,97008,0001438231,Digimarc CORP,BEAVERTON,OR,8500 SW CREEKSIDE PLACE,,97008
1271,BATON ROUGE,LA,C/O LAMAR ADVERTISING COMPANY,5321 CORPORATE BOULEVARD,70808,0001090425,LAMAR ADVERTISING CO/NEW,BATON ROUGE,LA,C/O LAMAR ADVERTISING COMPANY,5321 CORPORATE BOULEVARD,70808
1272,"GUADALAJARA, JALISCO",O5,"AVENIDA MARIANO OTERO NO. 1249, PISO 6",COL. RINCONADA DEL BOSQUE,45140,0001347557,Pacific Airport Group,"GUADALAJARA, JALISCO",O5,"AVENIDA MARIANO OTERO NO. 1249, PISO 6",COL. RINCONADA DEL BOSQUE,45140
1273,ALLENTOWN,PA,TWO N NINTH ST,,18101-1179,0000922224,PPL Corp,ALLENTOWN,PA,TWO N NINTH ST,,18101-1179
1274,NEW ALBANY,OH,6301 FITCH PATH,,43054,0001018840,ABERCROMBIE & FITCH CO /DE/,NEW ALBANY,OH,6301 FITCH PATH,,43054
1275,BETHESDA,MD,4800 MONTGOMERY LANE,SUITE 210,20814,0001750106,Alset Inc.,BETHESDA,MD,4800 MONTGOMERY LANE,SUITE 210,20814
1276,SUGAR LAND,TX,13135 DAIRY ASHFORD,SUITE 800,77478,0001895262,Noble Corp plc,SUGAR LAND,TX,13135 DAIRY ASHFORD,SUITE 800,77478
1277,TORONTO,A6,161 BAY STREET,"SUITE 2315, PO BOX 216",M5J 2S1,0001004530,Mountain Province Diamonds Inc.,TORONTO,A6,161 BAY STREET,"SUITE 2315, PO BOX 216",M5J 2S1
1278,LAS VEGAS,NV,6320 S SANDHILL ROAD,SUITE 10,89120,0001085277,"SKINVISIBLE, INC.",LAS VEGAS,NV,6320 S SANDHILL ROAD,SUITE 10,89120
1279,HONG KONG,F4,"ROOM 2106, BEAUTIFUL GROUP TOWER",77 CONNAUGHT ROAD,00000,0001673504,Shengshi Elevator International Holding Group Inc.,HONG KONG,F4,"ROOM 2106, BEAUTIFUL GROUP TOWER",77 CONNAUGHT ROAD,00000
1280,CAMBRIDGE,MA,35 CAMBRIDGE PARK DRIVE,,02140,0001782223,"Pyxis Oncology, Inc.",CAMBRIDGE,MA,35 CAMBRIDGE PARK DRIVE,,02140
1281,VALENCIA,CA,28040 WEST HARRISON PARKWAY,,91355,0000942126,TAITRON COMPONENTS INC,VALENCIA,CA,28040 WEST HARRISON PARKWAY,,91355
1282,LAUDERDALE BY THE SEA,FL,275 E COMMERCIAL BLVD,#208,33308,0001419995,DNA BRANDS INC,LAUDERDALE BY THE SEA,FL,275 E COMMERCIAL BLVD,#208,33308
1283,SAN FRANCISCO,CA,P.O. BOX 8999,,94128-8999,0001403161,VISA INC.,SAN FRANCISCO,CA,P.O. BOX 8999,,94128-8999
1284,MONACO,O9,"9, BOULEVARD CHARLES III",,98000,0001483934,Scorpio Tankers Inc.,MONACO,O9,"9, BOULEVARD CHARLES III",,98000
1285,SAN FRANCISCO,CA,"50 BEALE STREET, 8TH FLOOR",,94105,0001110611,ON24 INC.,SAN FRANCISCO,CA,"50 BEALE STREET, 8TH FLOOR",,94105
1286,NEW YORK,NY,350 FIFTH AVENUE,,10118,0001024305,COTY INC.,NEW YORK,NY,350 FIFTH AVENUE,,10118
1287,SEOUL100-102,M5,120 2-GA TAEPYUNG RO JUNG GU,,00000,0001263043,SHINHAN FINANCIAL GROUP CO LTD,SEOUL,M5,120 2-GA TAEPYUNG RO JUNG GU,SEOUL 100-102,00000
1288,NEWARK,CA,39899 BALENTINE DRIVE,,94560,0001803599,Concentrix Corp,NEWARK,CA,39899 BALENTINE DRIVE,,94560
1289,NEW YORK,NY,1 WORLD TRADE CENTER,FLOOR 85,10007,0001848898,10X Capital Venture Acquisition Corp. II,NEW YORK,NY,1 WORLD TRADE CENTER,FLOOR 85,10007
1290,DANVILLE,CA,4125 BLACKHAWK PLAZA CIRCLE,SUITE 166,94506,0001781726,"GJ Culture Group US, Inc.",DANVILLE,CA,4125 BLACKHAWK PLAZA CIRCLE,SUITE 166,94506
1291,BETHESDA,MD,9001 BURDETTE RD.,,20817,0001850051,Intelligent Medicine Acquisition Corp.,BETHESDA,MD,9001 BURDETTE RD.,,20817
1292,NASHVILLE,TN,"718 THOMPSON LANE, STE 108-199",,37204,0001648087,AMERICAN REBEL HOLDINGS INC,NASHVILLE,TN,"718 THOMPSON LANE, STE 108-199",,37204
1293,BEIJING,F4,"BLOCK C, WANGJING SCIENCE PARK","NO. 2 LIZE ZHONGER ROAD, CHAOYANG",100102,0001823986,Waterdrop Inc.,BEIJING,F4,"BLOCK C, WANGJING SCIENCE PARK","NO. 2 LIZE ZHONGER ROAD, CHAOYANG",100102
1294,NEW YORK,NY,1633 BROADWAY,,10019,0001723701,PIMCO Flexible Municipal Income Fund,NEW YORK,NY,1633 BROADWAY,,10019
1295,PALM BAY,FL,1470 TREELAND BLVD SE,,32909,0001519177,SOLLENSYS CORP.,PALM BAY,FL,1470 TREELAND BLVD SE,,32909
1296,KANSAS CITY,MO,1010 GRAND AVE,,64106,0000101382,UMB FINANCIAL CORP,KANSAS CITY,MO,1010 GRAND AVE,,64106
1297,BOSTON,MA,"137 NEWBURY STREET, 7TH FLOOR",,02116,0001816261,Executive Network Partnering Corp,BOSTON,MA,"137 NEWBURY STREET, 7TH FLOOR",,02116
1298,WALNUT CREEK,CA,500 YGNACIO VALLEY ROAD,SUITE 200,94596,0001730984,BayCom Corp,WALNUT CREEK,CA,500 YGNACIO VALLEY ROAD,SUITE 200,94596
1299,FORKED RIVER,NJ,314 S. MAIN STREET,,08731,0001518336,Dream Homes & Development Corp.,FORKED RIVER,NJ,314 S. MAIN STREET,,08731
1300,CHANGPING DISTRICT BEIJING,F4,NO. 21 SHENG MING YUAN ROAD,,102206,0001321851,Origin Agritech LTD,CHANGPING DISTRICT BEIJING,F4,NO. 21 SHENG MING YUAN ROAD,,102206
1301,SEGUIN,TX,1627 E WALNUT,,78155,0000897077,ALAMO GROUP INC,SEGUIN,TX,P.O. BOX 549,1627 EAST WALNUT,78155
1302,NORTH BETHESDA,MD,909 ROSE AVENUE,8TH FLOOR,20852,0001877322,ESAB Corp,NORTH BETHESDA,MD,909 ROSE AVENUE,8TH FLOOR,20852
1303,RENO,NV,6140 PLUMAS STREET,,89519-6075,0001296445,"ORMAT TECHNOLOGIES, INC.",RENO,NV,6140 PLUMAS STREET,,89519-6075
1304,NEW YORK,NY,520 MADISON AVENUE,,10022,0000096223,Jefferies Financial Group Inc.,NEW YORK,NY,520 MADISON AVENUE,,10022
1305,NEW YORK,NY,430 PARK AVENUE,2ND FLOOR,10022,0001805508,Itiquira Acquisition Corp.,NEW YORK,NY,430 PARK AVENUE,2ND FLOOR,10022
1306,PROVIDENCE,RI,40 WESTMINSTER ST,,02903,0000217346,TEXTRON INC,PROVIDENCE,RI,40 WESTMINSTER ST,,02903
1307,NSW,C3,20 HOLBECHE ROAD,ARNDELL PARK,2148,0001557798,"Tianci International, Inc.",NSW,C3,20 HOLBECHE ROAD,ARNDELL PARK,2148
1308,MENLO PARK,CA,2755 SAND HILL ROAD,SUITE 150,94025,0001580345,TriplePoint Venture Growth BDC Corp.,MENLO PARK,CA,2755 SAND HILL ROAD,SUITE 150,94025
1309,ATLANTA,GA,3 WEST PACES FERRY ROAD,SUITE 200,30305,0001720592,Repay Holdings Corp,ATLANTA,GA,3 WEST PACES FERRY ROAD,SUITE 200,30305
1310,ODESSA,FL,11552 PROSPEROUS DRIVE,,33556,0001125699,DAIS Corp,ODESSA,FL,11552 PROSPEROUS DRIVE,,335566
1311,FISHERS,IN,"12115 VISIONARY WAY, SUITE 174",,46038,0001590715,American Resources Corp,FISHERS,IN,"12115 VISIONARY WAY, SUITE 174",,46038
1312,BEDFORD,MA,125 MIDDLESEX TURNPIKE,.,01730,0001076930,NOVANTA INC,BEDFORD,MA,125 MIDDLESEX TURNPIKE,.,01730
1313,ENGLEWOOD,CO,345 INVERNESS DRIVE SOUTH,"BUILDING B, SUITE 250",80112,0000879682,"VIVEVE MEDICAL, INC.",ENGLEWOOD,CO,345 INVERNESS DRIVE SOUTH,"BUILDING B, SUITE 250",80112
1314,NEW YORK,NY,"3 PARK AVENUE, 36TH FLOOR",,10016,0001678124,CION Ares Diversified Credit Fund,NEW YORK,NY,"3 PARK AVENUE, 36TH FLOOR",,10016
1315,VERNON,A1,100 KALAMALKA LAKE ROAD,UNIT 32,V1T 9G1,0001698370,Maven Brands Inc.,VERNON,A1,100 KALAMALKA LAKE ROAD,UNIT 32,V1T 9G1
1316,HERZLIYA,L3,"3 ARIK EINSTEIN ST., BUILDING B, 1 ST FL",,4659071,0001901279,Nayax Ltd.,HERZLIYA,L3,"3 ARIK EINSTEIN ST., BUILDING B, 1 ST FL",,4659071
1317,CLARK,NJ,"60 WALNUT AVENUE, SUITE 400",,07066,0001844507,Achari Ventures Holdings Corp. I,CLARK,NJ,"60 WALNUT AVENUE, SUITE 400",,07066
1318,VANCOUVER,A1,650 WEST GEORGIA STREET,"SUITE 1710, PO BOX 11644",V6B 4N9,0000910569,NORZINC LTD.,VANCOUVER,A1,650 WEST GEORGIA STREET,"SUITE 1710, PO BOX 11644",V6B 4N9
1319,LAHAINA,HI,200 VILLAGE ROAD,,96761,0000063330,MAUI LAND & PINEAPPLE CO INC,LAHAINA,HI,200 VILLAGE ROAD,,96761
1320,BEDFORD,MA,45 WIGGINS AVENUE,,01730,0001623526,"Stoke Therapeutics, Inc.",BEDFORD,MA,45 WIGGINS AVENUE,,01730
1321,NEW YORK,NY,60 WALL STREET,,10005,0001447100,"Yamaha Motor Co., Ltd.",NEW YORK,NY,60 WALL STREET,,10005
1322,SAINT HELIER,Y9,28 ESPLANADE,,JE2 3QA,0001596946,Quotient Ltd,SAINT HELIER,Y9,28 ESPLANADE,,JE2 3QA
1323,PITTSBURGH,PA,50 33RD ST,,15201,0001828108,"Aurora Innovation, Inc.",PITTSBURGH,PA,50 33RD ST,,15201
1324,MASSAPEQUA,NY,928 CARMANS ROAD,,11758,0000761648,"CEDAR REALTY TRUST, INC.",MASSAPEQUA,NY,928 CARMANS ROAD,,11758
1325,OTTAWA,IL,925 LASALLE STREET,,61350,0001675192,Ottawa Bancorp Inc,OTTAWA,IL,925 LASALLE STREET,,61350
1326,SALT LAKE CITY,UT,1865 WEST 2100 SOUTH,,84119,0000278165,OMNIQ Corp.,SALT LAKE CITY,UT,1865 WEST 2100 SOUTH,,84119
1327,PRINCETON,NJ,"103 CARNEGIE CENTER DRIVE, SUITE 309",,08540,0001831283,LianBio,PRINCETON,NJ,"103 CARNEGIE CENTER DRIVE, SUITE 309",,08540
1328,ST. LOUIS,MO,3753 PENNRIDGE DRIVE,,63044,0001353406,RedHawk Holdings Corp.,ST. LOUIS,MO,3753 PENNRIDGE DRIVE,,63044
1329,ANTWERP,C9,DE GERLACHEKAAI 20,,2000,0001604481,Euronav NV,ANTWERP,C9,DE GERLACHEKAAI 20,,2000
1330,LISHUI CITY. ZHEJIANG PROVINCE,F4,NO. 818 HUA YUAN STREET,LIANDU DISTRICT,323000,0001814067,Lixiang Education Holding Co. Ltd.,LISHUI CITY. ZHEJIANG PROVINCE,F4,NO. 818 HUA YUAN STREET,LIANDU DISTRICT,323000
1331,NEW YORK,NY,C/O CC CAPITAL,"200 PARK AVENUE, 58TH FLOOR",10166,0001821329,CC Neuberger Principal Holdings III,NEW YORK,NY,C/O CC CAPITAL,"200 PARK AVENUE, 58TH FLOOR",10166
1332,MIAMI BEACH,FL,"57 OCEAN, SUITE 403",5775 COLLINS AVENUE,33140,0001838108,RMG Acquisition Corp. III,MIAMI BEACH,FL,"57 OCEAN, SUITE 403",5775 COLLINS AVENUE,33140
1333,SUNNYVALE,CA,899 KIFER ROAD,,94086,0001262039,"Fortinet, Inc.",SUNNYVALE,CA,899 KIFER ROAD,,94086
1334,AKRON,OH,76 SOUTH MAIN ST,,44308-1890,0001031296,FIRSTENERGY CORP,AKRON,OH,76 SOUTH MAIN ST,,44308-1890
1335,BIRMINGHAM,AL,1200 URBAN CENTER DRIVE,,35242,0001396009,Vulcan Materials CO,BIRMINGHAM,AL,1200 URBAN CENTER DRIVE,,35242
1336,CORPUS CHRISTI,TX,"101 N. SHORELINE BLVD, SUITE 450",,78401,0001500881,enCore Energy Corp.,CORPUS CHRISTI,TX,"101 N. SHORELINE BLVD, SUITE 450",,78401
1337,ROCHESTER,NY,35 VANTAGE POINT DRIVE,,14624,0000099302,TRANSCAT INC,ROCHESTER,NY,35 VANTAGE POINT DRIVE,,14624
1338,HANGZHOU,F4,"NETEASE BUILDING, NO. 599 WANGSHANG RD",BINJIANG DISTRICT,310052,0001110646,"NetEase, Inc.",HANGZHOU,F4,"NETEASE BUILDING, NO. 599 WANGSHANG RD",BINJIANG DISTRICT,310052
1339,WAUSAU,WI,500 SCOTT STREET,,54403,0001835385,"Marathon Bancorp, Inc. /MD/",WAUSAU,WI,500 SCOTT STREET,,54403
1340,SHANGHAI,F4,JINSHAWEI SHANGHAI,48 JINVI RD,200540,0000908732,SINOPEC SHANGHAI PETROCHEMICAL CO LTD,SHANGHAI,F4,JINSHAWEI SHANGHAI,48 JINVI RD,200540
1341,BOSTON,MA,888 BOYLSTON STREET,SUITE 1111,02199,0001832010,Omega Alpha SPAC,BOSTON,MA,888 BOYLSTON STREET,SUITE 1111,02199
1342,FAIRFIELD,NJ,120 PASSAIC AVENUE,,07004,0001617242,Kearny Financial Corp.,FAIRFIELD,NJ,120 PASSAIC AVENUE,,07004
1343,COEUR D'ALENE,ID,201 N. 3RD STREET,,83814,0001030192,"Idaho Strategic Resources, Inc.",COEUR D'ALENE,ID,201 N. 3RD STREET,,83814
1344,MILPITAS,CA,ONE TECHNOLOGY DRIVE,,95035,0000319201,KLA CORP,MILPITAS,CA,ONE TECHNOLOGY DRIVE,,95035
1345,BILLERICA,MA,600 TECHNOLOGY DRIVE,,01821,0001305773,Conformis Inc,BILLERICA,MA,600 TECHNOLOGY DRIVE,,01821
1346,SAO PAULO,D5,"AVENIDA EUSEBIO MATOSO, 1,375",10TH FLOOR,05423-180,0001896049,"Semantix, Inc.",SAO PAULO,D5,"AVENIDA EUSEBIO MATOSO, 1,375",10TH FLOOR,05423-180
1347,LONDON ENGLAND,X0,20-22 WENLOCK ROAD,,N1 7G8,0001572317,"UNEEQO, INC.",LONDON ENGLAND,X0,20-22 WENLOCK ROAD,,N1 7G8
1348,CHANDLER,AZ,1811 E NORTHROP BLVD,,85286,0001305323,Zovio Inc,CHANDLER,AZ,1811 E NORTHROP BLVD,,85286
1349,CONSHOHOCKEN,PA,ONE QUAKER PARK,901 HECTOR STREET,19428,0000081362,QUAKER CHEMICAL CORP,CONSHOHOCKEN,PA,ONE QUAKER PARK,901 HECTOR ST,19428
1350,LIVERMORE,CA,5700 LAS POSITAS RD,,94551,0000752714,MCGRATH RENTCORP,LIVERMORE,CA,5700 LAS POSITAS RD,,94551
1351,SAN JOSE,CA,5601 GREAT OAKS PARKWAY,,95119,0000106040,WESTERN DIGITAL CORP,IRVINE,CA,3355 MICHELSON DRIVE SUITE 100,,92612
1352,LOVELAND,OH,100 COMMERCE DRIVE,,45140,0001425287,Workhorse Group Inc.,LOVELAND,OH,100 COMMERCE DRIVE,,45140
1353,REHOVOT,L3,5 OPPENHEIMER ST.,,7670105,0001760764,G Medical Innovations Holdings Ltd.,REHOVOT,L3,5 OPPENHEIMER ST.,,7670105
1354,HOUSTON,TX,700 MILAM ST.,SUITE 1900,77002,0000003570,"Cheniere Energy, Inc.",HOUSTON,TX,700 MILAM ST.,SUITE 1900,77002
1355,NORTH VANCOUVER,A1,4448 PATTERDALE DRIVE,,V7R 4L8,0001318268,Madison Technologies Inc.,NORTH VANCOUVER,A1,4448 PATTERDALE DRIVE,,V7R 4L8
